disease,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
mel,1.0,1.0,1.0,1.0,0.5,0.5,0,0,0,0.5,0.5,0,1.0,0,0.5,1,0.5,1.0,1
bcc,1.0,0.5,0.5,1.0,1.0,1.0,1,0,1,0.0,0.5,0,0.5,0,1.0,1,1.0,0.5,0
akiec,0.5,0.0,0.0,0.5,0.0,0.0,1,1,0,0.5,0.0,0,0.0,1,0.0,1,1.0,0.0,0
bkl,0.5,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0,0.0,1,0.0,0,1.0,0.0,0
nv,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0
df,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.5,1,0.0,1,0.0,0,0.0,0.0,0
vasc,1.0,0.0,0.0,0.5,0.0,1.0,0,0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0
